Method,AccMean,AccStd,F1Mean,F1Std,AUCMean,AUCStd
baseline,0.841285714285714,0.0173198534711769,0.841121477184152,0.0173004080589311,0.902687755102041,0.012703734133615
relieff,0.849714285714286,0.0250242512760609,0.849604003114852,0.0250380270848793,0.892495918367347,0.0214538543644824
lasso,0.865428571428571,0.0133808676492827,0.865298728967449,0.0133940215454154,0.908620408163266,0.0123188702902277
