Method,AccMean,AccStd,F1Mean,F1Std,AUCMean,AUCStd
baseline,0.665384615384615,0.034353233351216,0.664938651664934,0.03414455375202,0.730502958579882,0.0365341079211097
relieff,0.694615384615385,0.0510958156800843,0.694256359544965,0.0509272921143049,0.766278106508876,0.0590403043724466
lasso,0.616153846153846,0.0336181128975572,0.615123367220231,0.033983335715192,0.661059171597633,0.0364694488091483
