Method,AccMean,AccStd,F1Mean,F1Std,AUCMean,AUCStd
baseline,0.940869565217391,0.0152277397525376,0.800378577666387,0.050088254740625,0.828156895693304,0.0484577253116833
relieff,0.935652173913043,0.0164988399660959,0.782023623379165,0.0594558616167353,0.802149953606264,0.0544139650034455
lasso,0.924347826086956,0.0142294929955172,0.751310487156493,0.044011581976697,0.793237830131034,0.0666162493402867
