Method,AccMean,AccStd,F1Mean,F1Std,AUCMean,AUCStd
baseline,0.69,0.0936897954837013,0.683749218991176,0.092024220367594,0.727272727272727,0.130083956258185
relieff,0.68,0.108525470640665,0.676604793390902,0.107934025483449,0.736805555555555,0.0878713899965453
lasso,0.655,0.0724568837309472,0.649383116883117,0.074604320644471,0.711521464646464,0.0875980240973367
